row_id,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id,made_avg,missed_avg,GAME_ID1,MATCHUP1,LOCATION1,W1,FINAL_MARGIN1,SHOT_NUMBER1,PERIOD1,GAME_CLOCK1,SHOT_CLOCK1,DRIBBLES1,TOUCH_TIME1,SHOT_DIST1,PTS_TYPE1,SHOT_RESULT1,CLOSEST_DEFENDER1,CLOSEST_DEFENDER_PLAYER_ID1,CLOSE_DEF_DIST1,FGM1,PTS1,player_name1,player_id1,made_avg1,missed_avg1,GAME_ID2,MATCHUP2,LOCATION2,W2,FINAL_MARGIN2,SHOT_NUMBER2,PERIOD2,GAME_CLOCK2,SHOT_CLOCK2,DRIBBLES2,TOUCH_TIME2,SHOT_DIST2,PTS_TYPE2,SHOT_RESULT2,CLOSEST_DEFENDER2,CLOSEST_DEFENDER_PLAYER_ID2,CLOSE_DEF_DIST2,FGM2,PTS2,player_name2,player_id2,made_avg2,missed_avg2
0,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,1,1,697,5.2,0,0.8,15.7,2,0,"Olynyk, Kelly",203482,3.8,0,0,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209
1,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209
2,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,4,2,553,5,1,3.6,11.6,2,0,"Bradley, Avery",202340,3.4,0,0,kevin garnett,708,0.469827586,0.555858311,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209
3,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,5,2,248,15.2,0,1.4,5.5,2,1,"Sullinger, Jared",203096,1.1,1,2,kevin garnett,708,0.469827586,0.550480769,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,4,2,553,5,1,3.6,11.6,2,0,"Bradley, Avery",202340,3.4,0,0,kevin garnett,708,0.469827586,0.555858311,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,3,1,382,1.6,0,0.8,6.7,2,1,"Olynyk, Kelly",203482,1.7,1,2,kevin garnett,708,0.469827586,0.528358209
4,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,6,3,506,16,0,0.8,20.6,2,1,"Olynyk, Kelly",203482,5.5,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,5,2,248,15.2,0,1.4,5.5,2,1,"Sullinger, Jared",203096,1.1,1,2,kevin garnett,708,0.469827586,0.550480769,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,4,2,553,5,1,3.6,11.6,2,0,"Bradley, Avery",202340,3.4,0,0,kevin garnett,708,0.469827586,0.555858311
5,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,7,3,381,14.5,1,1.4,18.5,2,1,"Olynyk, Kelly",203482,4.1,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,6,3,506,16,0,0.8,20.6,2,1,"Olynyk, Kelly",203482,5.5,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,5,2,248,15.2,0,1.4,5.5,2,1,"Sullinger, Jared",203096,1.1,1,2,kevin garnett,708,0.469827586,0.550480769
6,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,8,3,348,10.5,1,1.5,19,2,0,"Olynyk, Kelly",203482,4.2,0,0,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,7,3,381,14.5,1,1.4,18.5,2,1,"Olynyk, Kelly",203482,4.1,1,2,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,6,3,506,16,0,0.8,20.6,2,1,"Olynyk, Kelly",203482,5.5,1,2,kevin garnett,708,0.469827586,0.528358209
7,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,1,1,690,9.1,0,0.9,21.3,2,0,"Smith, Josh",2746,7.3,0,0,kevin garnett,708,0.469827586,0.592156863,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,8,3,348,10.5,1,1.5,19,2,0,"Olynyk, Kelly",203482,4.2,0,0,kevin garnett,708,0.469827586,0.528358209,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,7,3,381,14.5,1,1.4,18.5,2,1,"Olynyk, Kelly",203482,4.1,1,2,kevin garnett,708,0.469827586,0.528358209
8,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,2,1,575,5.7,1,1.3,18.9,2,1,"Jennings, Brandon",201943,6.7,1,2,kevin garnett,708,0.469827586,0.559808612,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,1,1,690,9.1,0,0.9,21.3,2,0,"Smith, Josh",2746,7.3,0,0,kevin garnett,708,0.469827586,0.592156863,21400006,"OCT 29, 2014 - BKN @ BOS",-1,-1,-16,8,3,348,10.5,1,1.5,19,2,0,"Olynyk, Kelly",203482,4.2,0,0,kevin garnett,708,0.469827586,0.528358209
9,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,3,1,464,12.6,0,1.5,20.3,2,0,"Jennings, Brandon",201943,14.9,0,0,kevin garnett,708,0.469827586,0.559808612,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,2,1,575,5.7,1,1.3,18.9,2,1,"Jennings, Brandon",201943,6.7,1,2,kevin garnett,708,0.469827586,0.559808612,21400033,"NOV 01, 2014 - BKN @ DET",-1,1,12,1,1,690,9.1,0,0.9,21.3,2,0,"Smith, Josh",2746,7.3,0,0,kevin garnett,708,0.469827586,0.592156863
